speech,noise,noise_start,noise_end,SNR,RT60,speech_RIR,noise_RIR,spk_id
dev/aac/id03884/nzmAav8yCkI/00041,fma_small/073/073778,213463,292311,19,0.796637593341057,dev/aac/id03884/nzmAav8yCkI/00041_speechRIR,dev/aac/id03884/nzmAav8yCkI/00041_noiseRIR,VOXCELEB2id03884
dev/aac/id06105/qnyRwodkAoM/00154,freesound/dishes/181626__ancorapazzo__kitchen-washing-dishes-ambience-noises_R_01_part_16kHz_mono,2678400,2777600,18,0.6750845265740213,dev/aac/id06105/qnyRwodkAoM/00154_speechRIR,dev/aac/id06105/qnyRwodkAoM/00154_noiseRIR,VOXCELEB2id06105
dev/aac/id03342/DB3IIVBqCiM/00045,fma_small/123/123969,8799,81503,7,0.6702679718298772,dev/aac/id03342/DB3IIVBqCiM/00045_speechRIR,dev/aac/id03342/DB3IIVBqCiM/00045_noiseRIR,VOXCELEB2id03342
dev/aac/id00316/T7kodlAL0c0/00065,fma_small/111/111149,297600,396800,18,0.40808062359285896,dev/aac/id00316/T7kodlAL0c0/00065_speechRIR,dev/aac/id00316/T7kodlAL0c0/00065_noiseRIR,VOXCELEB2id00316
dev/aac/id09049/yqstbrExqkg/00490,fma_small/068/068894,316267,381803,16,0.7266277647619264,dev/aac/id09049/yqstbrExqkg/00490_speechRIR,dev/aac/id09049/yqstbrExqkg/00490_noiseRIR,VOXCELEB2id09049
dev/aac/id08574/1tEp5litSkw/00003,fma_small/126/126414,406309,492325,6,0.5434325553225006,dev/aac/id08574/1tEp5litSkw/00003_speechRIR,dev/aac/id08574/1tEp5litSkw/00003_noiseRIR,VOXCELEB2id08574
dev/aac/id08953/kI5rditLUaI/00388,BUT/fan/fan_10_R_01_part_16kHz_mono,305432,396568,5,0.5188021385157293,dev/aac/id08953/kI5rditLUaI/00388_speechRIR,dev/aac/id08953/kI5rditLUaI/00388_noiseRIR,VOXCELEB2id08953
dev/aac/id04161/qfCUH3WvL_U/00135,musan/noise/free-sound/noise-free-sound-0048,2584032,2657760,8,0.30057952799011933,dev/aac/id04161/qfCUH3WvL_U/00135_speechRIR,dev/aac/id04161/qfCUH3WvL_U/00135_noiseRIR,VOXCELEB2id04161
dev/aac/id02499/9ZrW8QyUmBE/00034,fma_small/017/017608,132135,196647,13,0.7864287352291902,dev/aac/id02499/9ZrW8QyUmBE/00034_speechRIR,dev/aac/id02499/9ZrW8QyUmBE/00034_noiseRIR,VOXCELEB2id02499
dev/aac/id00172/OloQ71iFp1M/00074,fma_small/056/056802,302837,386805,19,0.8234067090098778,dev/aac/id00172/OloQ71iFp1M/00074_speechRIR,dev/aac/id00172/OloQ71iFp1M/00074_noiseRIR,VOXCELEB2id00172
dev/aac/id00827/pFlr9nEk2IY/00114,fma_small/136/136706,126752,191264,7,0.36553355531001663,dev/aac/id00827/pFlr9nEk2IY/00114_speechRIR,dev/aac/id00827/pFlr9nEk2IY/00114_noiseRIR,VOXCELEB2id00827
dev/aac/id06794/2qPFqSBfiwU/00003,fma_small/012/012376,300475,367035,12,0.751252232670526,dev/aac/id06794/2qPFqSBfiwU/00003_speechRIR,dev/aac/id06794/2qPFqSBfiwU/00003_noiseRIR,VOXCELEB2id06794
